country,scope_label,kind,item_it,month,state
Italy,"Italy national indicative consumer calendar (MIPAAF-origin; as published by AULSS 9 Scaligera SIAN, Veneto) - not regional",frutta,meloni,giugno,listed_in_season
Italy,"Italy national indicative consumer calendar (MIPAAF-origin; as published by AULSS 9 Scaligera SIAN, Veneto) - not regional",frutta,meloni,luglio,listed_in_season
Italy,"Italy national indicative consumer calendar (MIPAAF-origin; as published by AULSS 9 Scaligera SIAN, Veneto) - not regional",frutta,meloni,agosto,listed_in_season
Italy,"Italy national indicative consumer calendar (MIPAAF-origin; as published by AULSS 9 Scaligera SIAN, Veneto) - not regional",frutta,meloni,settembre,listed_in_season
Italy,"Italy national indicative consumer calendar (MIPAAF-origin; as published by AULSS 9 Scaligera SIAN, Veneto) - not regional",frutta,meloni,ottobre,not_listed
Italy,"Italy national indicative consumer calendar (MIPAAF-origin; as published by AULSS 9 Scaligera SIAN, Veneto) - not regional",frutta,meloni,novembre,not_listed
Italy,"Italy national indicative consumer calendar (MIPAAF-origin; as published by AULSS 9 Scaligera SIAN, Veneto) - not regional",frutta,meloni,dicembre,not_listed
Italy,"Italy national indicative consumer calendar (MIPAAF-origin; as published by AULSS 9 Scaligera SIAN, Veneto) - not regional",frutta,mirtilli,gennaio,not_listed
Italy,"Italy national indicative consumer calendar (MIPAAF-origin; as published by AULSS 9 Scaligera SIAN, Veneto) - not regional",frutta,mirtilli,febbraio,not_listed
Italy,"Italy national indicative consumer calendar (MIPAAF-origin; as published by AULSS 9 Scaligera SIAN, Veneto) - not regional",frutta,mirtilli,marzo,not_listed
Italy,"Italy national indicative consumer calendar (MIPAAF-origin; as published by AULSS 9 Scaligera SIAN, Veneto) - not regional",frutta,mirtilli,aprile,not_listed
Italy,"Italy national indicative consumer calendar (MIPAAF-origin; as published by AULSS 9 Scaligera SIAN, Veneto) - not regional",frutta,mirtilli,maggio,not_listed
Italy,"Italy national indicative consumer calendar (MIPAAF-origin; as published by AULSS 9 Scaligera SIAN, Veneto) - not regional",frutta,mirtilli,giugno,not_listed
Italy,"Italy national indicative consumer calendar (MIPAAF-origin; as published by AULSS 9 Scaligera SIAN, Veneto) - not regional",frutta,mirtilli,luglio,listed_in_season
Italy,"Italy national indicative consumer calendar (MIPAAF-origin; as published by AULSS 9 Scaligera SIAN, Veneto) - not regional",frutta,mirtilli,agosto,listed_in_season
Italy,"Italy national indicative consumer calendar (MIPAAF-origin; as published by AULSS 9 Scaligera SIAN, Veneto) - not regional",frutta,mirtilli,settembre,listed_in_season
Italy,"Italy national indicative consumer calendar (MIPAAF-origin; as published by AULSS 9 Scaligera SIAN, Veneto) - not regional",frutta,mirtilli,ottobre,not_listed
Italy,"Italy national indicative consumer calendar (MIPAAF-origin; as published by AULSS 9 Scaligera SIAN, Veneto) - not regional",frutta,mirtilli,novembre,not_listed
Italy,"Italy national indicative consumer calendar (MIPAAF-origin; as published by AULSS 9 Scaligera SIAN, Veneto) - not regional",frutta,mirtilli,dicembre,not_listed
